Algorithms                , Algorithm_ID         , DPA_METHODS, FEE_METHODS, FES_METHODS, CLF_METHODS, END_METHODS       , END_TO_END_METHODS, DPA_METHODS_ID, FEE_METHODS_ID, FES_METHODS_ID, CLF_METHODS_ID, END_METHODS_ID, END_TO_END_METHODS_ID, accuracy          , train_time           , test_time
EA-CSP-PCA-KNN            , "[1, 1, 5, 4, 0, 0]" , EA         , CSP        , PCA        , KNN        ,                   ,                   ,              1,              1,              5,              4,              0,                     0, 0.8622222222222223,   0.23521597385406495, 0.2094618558883667
EA-CSP-PCA-DTC            , "[1, 1, 5, 5, 0, 0]" , EA         , CSP        , PCA        , DTC        ,                   ,                   ,              1,              1,              5,              5,              0,                     0, 0.7855555555555556,   0.2414924383163452 , 0.19238872528076173
EA-CSP-PCA-RFC            , "[1, 1, 5, 6, 0, 0]" , EA         , CSP        , PCA        , RFC        ,                   ,                   ,              1,              1,              5,              6,              0,                     0, 0.8455555555555556,   0.37462158203125   , 0.17461295127868653
EA-CSP-PCA-ETC            , "[1, 1, 5, 7, 0, 0]" , EA         , CSP        , PCA        , ETC        ,                   ,                   ,              1,              1,              5,              7,              0,                     0, 0.8344444444444443,   0.3924593210220337 , 0.21223325729370118
EA-CSP-PCA-ABC            , "[1, 1, 5, 8, 0, 0]" , EA         , CSP        , PCA        , ABC        ,                   ,                   ,              1,              1,              5,              8,              0,                     0, 0.8355555555555556,   0.35762410163879393, 0.21748886108398438
EA-CSP-PCA-GBC            , "[1, 1, 5, 9, 0, 0]" , EA         , CSP        , PCA        , GBC        ,                   ,                   ,              1,              1,              5,              9,              0,                     0, 0.8277777777777777,   0.36530561447143556, 0.24224817752838135
EA-CSP-PCA-GNB            , "[1, 1, 5, 10, 0, 0]", EA         , CSP        , PCA        , GNB        ,                   ,                   ,              1,              1,              5,             10,              0,                     0, 0.8433333333333334,   0.3054781436920166 , 0.1924044370651245
EA-CSP-PCA-MLP            , "[1, 1, 5, 11, 0, 0]", EA         , CSP        , PCA        , MLP        ,                   ,                   ,              1,              1,              5,             11,              0,                     0, 0.8555555555555557,   0.6232311725616455 , 0.15854687690734864
EA-CSP-LASSO-SVM          , "[1, 1, 6, 1, 0, 0]" , EA         , CSP        , LASSO      , SVM        ,                   ,                   ,              1,              1,              6,              1,              0,                     0, 0.9044444444444446,   0.2788629770278931 , 0.21040925979614258
EA-CSP-LASSO-LDA          , "[1, 1, 6, 2, 0, 0]" , EA         , CSP        , LASSO      , LDA        ,                   ,                   ,              1,              1,              6,              2,              0,                     0, 0.8944444444444445,   0.27184648513793946, 0.19239025115966796
EA-CSP-LASSO-LR           , "[1, 1, 6, 3, 0, 0]" , EA         , CSP        , LASSO      , LR         ,                   ,                   ,              1,              1,              6,              3,              0,                     0, 0.8977777777777778,   0.2397367238998413 , 0.20467894077301024
EA-CSP-LASSO-KNN          , "[1, 1, 6, 4, 0, 0]" , EA         , CSP        , LASSO      , KNN        ,                   ,                   ,              1,              1,              6,              4,              0,                     0, 0.9022222222222223,   0.23253440856933594, 0.19108929634094238
EA-CSP-LASSO-DTC          , "[1, 1, 6, 5, 0, 0]" , EA         , CSP        , LASSO      , DTC        ,                   ,                   ,              1,              1,              6,              5,              0,                     0, 0.8200000000000001,   0.2336970806121826 , 0.17509660720825196
EA-CSP-LASSO-RFC          , "[1, 1, 6, 6, 0, 0]" , EA         , CSP        , LASSO      , RFC        ,                   ,                   ,              1,              1,              6,              6,              0,                     0, 0.8944444444444445,   0.3893407106399536 , 0.18619394302368164
EA-CSP-LASSO-ETC          , "[1, 1, 6, 7, 0, 0]" , EA         , CSP        , LASSO      , ETC        ,                   ,                   ,              1,              1,              6,              7,              0,                     0, 0.888888888888889 ,   0.33898966312408446, 0.21081066131591797
EA-CSP-LASSO-ABC          , "[1, 1, 6, 8, 0, 0]" , EA         , CSP        , LASSO      , ABC        ,                   ,                   ,              1,              1,              6,              8,              0,                     0, 0.8511111111111112,   0.33409876823425294, 0.20138094425201417
EA-CSP-LASSO-GBC          , "[1, 1, 6, 9, 0, 0]" , EA         , CSP        , LASSO      , GBC        ,                   ,                   ,              1,              1,              6,              9,              0,                     0, 0.8688888888888888,   0.35766847133636476, 0.17182857990264894
EA-CSP-LASSO-GNB          , "[1, 1, 6, 10, 0, 0]", EA         , CSP        , LASSO      , GNB        ,                   ,                   ,              1,              1,              6,             10,              0,                     0, 0.8344444444444443,   0.2562779664993286 , 0.19861130714416503
EA-CSP-LASSO-MLP          , "[1, 1, 6, 11, 0, 0]", EA         , CSP        , LASSO      , MLP        ,                   ,                   ,              1,              1,              6,             11,              0,                     0, 0.888888888888889 ,   0.5035836935043335 , 0.16044239997863768
EA-CSP-RFE-SVM            , "[1, 1, 7, 1, 0, 0]" , EA         , CSP        , RFE        , SVM        ,                   ,                   ,              1,              1,              7,              1,              0,                     0, 0.8977777777777778,   0.2367579460144043 , 0.18106532096862793
EA-CSP-RFE-LDA            , "[1, 1, 7, 2, 0, 0]" , EA         , CSP        , RFE        , LDA        ,                   ,                   ,              1,              1,              7,              2,              0,                     0, 0.8866666666666667,   0.23204388618469238, 0.19466147422790528
EA-CSP-RFE-LR             , "[1, 1, 7, 3, 0, 0]" , EA         , CSP        , RFE        , LR         ,                   ,                   ,              1,              1,              7,              3,              0,                     0, 0.8966666666666667,   0.22310569286346435, 0.17852611541748048
EA-CSP-RFE-KNN            , "[1, 1, 7, 4, 0, 0]" , EA         , CSP        , RFE        , KNN        ,                   ,                   ,              1,              1,              7,              4,              0,                     0, 0.8911111111111112,   0.23377952575683594, 0.17864375114440917
EA-CSP-RFE-DTC            , "[1, 1, 7, 5, 0, 0]" , EA         , CSP        , RFE        , DTC        ,                   ,                   ,              1,              1,              7,              5,              0,                     0, 0.8111111111111111,   0.2619763374328613 , 0.18123867511749267
EA-CSP-RFE-RFC            , "[1, 1, 7, 6, 0, 0]" , EA         , CSP        , RFE        , RFC        ,                   ,                   ,              1,              1,              7,              6,              0,                     0, 0.8822222222222221,   0.3947300434112549 , 0.20094072818756104
EA-CSP-RFE-ETC            , "[1, 1, 7, 7, 0, 0]" , EA         , CSP        , RFE        , ETC        ,                   ,                   ,              1,              1,              7,              7,              0,                     0, 0.8855555555555557,   0.3574520111083984 , 0.17822885513305664
EA-CSP-RFE-ABC            , "[1, 1, 7, 8, 0, 0]" , EA         , CSP        , RFE        , ABC        ,                   ,                   ,              1,              1,              7,              8,              0,                     0, 0.8477777777777777,   0.32504544258117674, 0.2307744026184082
EA-CSP-RFE-GBC            , "[1, 1, 7, 9, 0, 0]" , EA         , CSP        , RFE        , GBC        ,                   ,                   ,              1,              1,              7,              9,              0,                     0, 0.8944444444444445,   0.4413079977035522 , 0.2199753999710083
EA-CSP-RFE-GNB            , "[1, 1, 7, 10, 0, 0]", EA         , CSP        , RFE        , GNB        ,                   ,                   ,              1,              1,              7,             10,              0,                     0, 0.7744444444444444,   0.2854440927505493 , 0.20836153030395507
EA-CSP-RFE-MLP            , "[1, 1, 7, 11, 0, 0]", EA         , CSP        , RFE        , MLP        ,                   ,                   ,              1,              1,              7,             11,              0,                     0, 0.8833333333333334,   0.6238784074783326 , 0.18484928607940673
EA-CSP-RFECV-SVM          , "[1, 1, 8, 1, 0, 0]" , EA         , CSP        , RFECV      , SVM        ,                   ,                   ,              1,              1,              8,              1,              0,                     0, 0.9022222222222223,   0.2943855047225952 , 0.21454448699951173
EA-CSP-RFECV-LDA          , "[1, 1, 8, 2, 0, 0]" , EA         , CSP        , RFECV      , LDA        ,                   ,                   ,              1,              1,              8,              2,              0,                     0, 0.8944444444444445,   0.29475929737091067, 0.23524003028869628
EA-CSP-RFECV-LR           , "[1, 1, 8, 3, 0, 0]" , EA         , CSP        , RFECV      , LR         ,                   ,                   ,              1,              1,              8,              3,              0,                     0, 0.8955555555555555,   0.27287352085113525, 0.2076174020767212
EA-CSP-RFECV-KNN          , "[1, 1, 8, 4, 0, 0]" , EA         , CSP        , RFECV      , KNN        ,                   ,                   ,              1,              1,              8,              4,              0,                     0, 0.9100000000000001,   0.24125893115997316, 0.1977132797241211
EA-CSP-RFECV-DTC          , "[1, 1, 8, 5, 0, 0]" , EA         , CSP        , RFECV      , DTC        ,                   ,                   ,              1,              1,              8,              5,              0,                     0, 0.8266666666666665,   0.2276470184326172 , 0.17841041088104248
EA-CSP-RFECV-RFC          , "[1, 1, 8, 6, 0, 0]" , EA         , CSP        , RFECV      , RFC        ,                   ,                   ,              1,              1,              8,              6,              0,                     0, 0.8866666666666667,   0.3747260093688965 , 0.21530826091766359
EA-CSP-RFECV-ETC          , "[1, 1, 8, 7, 0, 0]" , EA         , CSP        , RFECV      , ETC        ,                   ,                   ,              1,              1,              8,              7,              0,                     0, 0.8922222222222222,   0.3324903964996338 , 0.19954919815063477
EA-CSP-RFECV-ABC          , "[1, 1, 8, 8, 0, 0]" , EA         , CSP        , RFECV      , ABC        ,                   ,                   ,              1,              1,              8,              8,              0,                     0, 0.86              ,   0.32547626495361326, 0.2028261184692383
EA-CSP-RFECV-GBC          , "[1, 1, 8, 9, 0, 0]" , EA         , CSP        , RFECV      , GBC        ,                   ,                   ,              1,              1,              8,              9,              0,                     0, 0.8744444444444444,   0.35457382202148435, 0.15855696201324462
EA-CSP-RFECV-GNB          , "[1, 1, 8, 10, 0, 0]", EA         , CSP        , RFECV      , GNB        ,                   ,                   ,              1,              1,              8,             10,              0,                     0, 0.8144444444444444,   0.2346280574798584 , 0.1890347957611084
EA-CSP-RFECV-MLP          , "[1, 1, 8, 11, 0, 0]", EA         , CSP        , RFECV      , MLP        ,                   ,                   ,              1,              1,              8,             11,              0,                     0, 0.8955555555555555,   0.5092727422714234 , 0.16632049083709716
EA-TRCSP-SVM              , "[1, 2, 0, 1, 0, 0]" , EA         , TRCSP      ,            , SVM        ,                   ,                   ,              1,              2,              0,              1,              0,                     0, 0.9055555555555557,   0.23314056396484376, 0.20317602157592773
EA-TRCSP-LDA              , "[1, 2, 0, 2, 0, 0]" , EA         , TRCSP      ,            , LDA        ,                   ,                   ,              1,              2,              0,              2,              0,                     0, 0.9055555555555557,   0.22592170238494874, 0.1750500440597534
EA-TRCSP-LR               , "[1, 2, 0, 3, 0, 0]" , EA         , TRCSP      ,            , LR         ,                   ,                   ,              1,              2,              0,              3,              0,                     0, 0.9011111111111111,   0.24089233875274657, 0.18778069019317628
EA-TRCSP-KNN              , "[1, 2, 0, 4, 0, 0]" , EA         , TRCSP      ,            , KNN        ,                   ,                   ,              1,              2,              0,              4,              0,                     0, 0.8977777777777778,   0.2199780225753784 , 0.19477443695068358
EA-TRCSP-DTC              , "[1, 2, 0, 5, 0, 0]" , EA         , TRCSP      ,            , DTC        ,                   ,                   ,              1,              2,              0,              5,              0,                     0, 0.8066666666666666,   0.23710575103759765, 0.19254558086395263
EA-TRCSP-RFC              , "[1, 2, 0, 6, 0, 0]" , EA         , TRCSP      ,            , RFC        ,                   ,                   ,              1,              2,              0,              6,              0,                     0, 0.888888888888889 ,   0.3728855848312378 , 0.19474396705627442
EA-TRCSP-ETC              , "[1, 2, 0, 7, 0, 0]" , EA         , TRCSP      ,            , ETC        ,                   ,                   ,              1,              2,              0,              7,              0,                     0, 0.8922222222222222,   0.3279408931732178 , 0.202353835105896
EA-TRCSP-ABC              , "[1, 2, 0, 8, 0, 0]" , EA         , TRCSP      ,            , ABC        ,                   ,                   ,              1,              2,              0,              8,              0,                     0, 0.8555555555555555,   0.32798950672149657, 0.1943971872329712
EA-TRCSP-GBC              , "[1, 2, 0, 9, 0, 0]" , EA         , TRCSP      ,            , GBC        ,                   ,                   ,              1,              2,              0,              9,              0,                     0, 0.8833333333333334,   0.3981770515441895 , 0.19393689632415773
EA-TRCSP-GNB              , "[1, 2, 0, 10, 0, 0]", EA         , TRCSP      ,            , GNB        ,                   ,                   ,              1,              2,              0,             10,              0,                     0, 0.8188888888888888,   0.25114219188690184, 0.19225683212280273
EA-TRCSP-MLP              , "[1, 2, 0, 11, 0, 0]", EA         , TRCSP      ,            , MLP        ,                   ,                   ,              1,              2,              0,             11,              0,                     0, 0.9255555555555557,   0.6371922731399536 , 0.16111290454864502
EA-TRCSP-ANOVA-K-SVM      , "[1, 2, 1, 1, 0, 0]" , EA         , TRCSP      , ANOVA-K    , SVM        ,                   ,                   ,              1,              2,              1,              1,              0,                     0, 0.9055555555555557,   0.23827004432678223, 0.1737370491027832
EA-TRCSP-ANOVA-K-LDA      , "[1, 2, 1, 2, 0, 0]" , EA         , TRCSP      , ANOVA-K    , LDA        ,                   ,                   ,              1,              2,              1,              2,              0,                     0, 0.9055555555555557,   0.23738617897033693, 0.18772215843200685
EA-TRCSP-ANOVA-K-LR       , "[1, 2, 1, 3, 0, 0]" , EA         , TRCSP      , ANOVA-K    , LR         ,                   ,                   ,              1,              2,              1,              3,              0,                     0, 0.9011111111111111,   0.23601720333099366, 0.1844602108001709
EA-TRCSP-ANOVA-K-KNN      , "[1, 2, 1, 4, 0, 0]" , EA         , TRCSP      , ANOVA-K    , KNN        ,                   ,                   ,              1,              2,              1,              4,              0,                     0, 0.8977777777777778,   0.22139673233032225, 0.17703499794006347
EA-TRCSP-ANOVA-K-DTC      , "[1, 2, 1, 5, 0, 0]" , EA         , TRCSP      , ANOVA-K    , DTC        ,                   ,                   ,              1,              2,              1,              5,              0,                     0, 0.8               ,   0.24352412223815917, 0.18215517997741698
EA-TRCSP-ANOVA-K-RFC      , "[1, 2, 1, 6, 0, 0]" , EA         , TRCSP      , ANOVA-K    , RFC        ,                   ,                   ,              1,              2,              1,              6,              0,                     0, 0.8866666666666667,   0.37984490394592285, 0.19092273712158203
EA-TRCSP-ANOVA-K-ETC      , "[1, 2, 1, 7, 0, 0]" , EA         , TRCSP      , ANOVA-K    , ETC        ,                   ,                   ,              1,              2,              1,              7,              0,                     0, 0.9000000000000001,   0.34409198760986326, 0.19497265815734863
EA-TRCSP-ANOVA-K-ABC      , "[1, 2, 1, 8, 0, 0]" , EA         , TRCSP      , ANOVA-K    , ABC        ,                   ,                   ,              1,              2,              1,              8,              0,                     0, 0.8555555555555555,   0.32745435237884524, 0.19722750186920165
EA-TRCSP-ANOVA-K-GBC      , "[1, 2, 1, 9, 0, 0]" , EA         , TRCSP      , ANOVA-K    , GBC        ,                   ,                   ,              1,              2,              1,              9,              0,                     0, 0.8844444444444445,   0.3788383960723877 , 0.18959786891937255
EA-TRCSP-ANOVA-K-GNB      , "[1, 2, 1, 10, 0, 0]", EA         , TRCSP      , ANOVA-K    , GNB        ,                   ,                   ,              1,              2,              1,             10,              0,                     0, 0.8188888888888888,   0.23894963264465333, 0.17324588298797608
EA-TRCSP-ANOVA-K-MLP      , "[1, 2, 1, 11, 0, 0]", EA         , TRCSP      , ANOVA-K    , MLP        ,                   ,                   ,              1,              2,              1,             11,              0,                     0, 0.9244444444444445,   0.691058897972107  , 0.15049500465393068
EA-TRCSP-ANOVA-P-SVM      , "[1, 2, 2, 1, 0, 0]" , EA         , TRCSP      , ANOVA-P    , SVM        ,                   ,                   ,              1,              2,              2,              1,              0,                     0, 0.9077777777777779,   0.23021562099456788, 0.18345179557800292
EA-TRCSP-ANOVA-P-LDA      , "[1, 2, 2, 2, 0, 0]" , EA         , TRCSP      , ANOVA-P    , LDA        ,                   ,                   ,              1,              2,              2,              2,              0,                     0, 0.8988888888888888,   0.23147692680358886, 0.16319375038146972
EA-TRCSP-ANOVA-P-LR       , "[1, 2, 2, 3, 0, 0]" , EA         , TRCSP      , ANOVA-P    , LR         ,                   ,                   ,              1,              2,              2,              3,              0,                     0, 0.9000000000000001,   0.2267087936401367 , 0.17676496505737305
EA-TRCSP-ANOVA-P-KNN      , "[1, 2, 2, 4, 0, 0]" , EA         , TRCSP      , ANOVA-P    , KNN        ,                   ,                   ,              1,              2,              2,              4,              0,                     0, 0.9022222222222223,   0.23318378925323485, 0.18521420955657958
EA-TRCSP-ANOVA-P-DTC      , "[1, 2, 2, 5, 0, 0]" , EA         , TRCSP      , ANOVA-P    , DTC        ,                   ,                   ,              1,              2,              2,              5,              0,                     0, 0.7877777777777778,   0.22855687141418457, 0.1972985029220581
EA-TRCSP-ANOVA-P-RFC      , "[1, 2, 2, 6, 0, 0]" , EA         , TRCSP      , ANOVA-P    , RFC        ,                   ,                   ,              1,              2,              2,              6,              0,                     0, 0.8744444444444444,   0.37007803916931153, 0.18216340541839598
EA-TRCSP-ANOVA-P-ETC      , "[1, 2, 2, 7, 0, 0]" , EA         , TRCSP      , ANOVA-P    , ETC        ,                   ,                   ,              1,              2,              2,              7,              0,                     0, 0.8744444444444444,   0.35078670978546145, 0.19943995475769044
EA-TRCSP-ANOVA-P-ABC      , "[1, 2, 2, 8, 0, 0]" , EA         , TRCSP      , ANOVA-P    , ABC        ,                   ,                   ,              1,              2,              2,              8,              0,                     0, 0.8522222222222222,   0.3073265790939331 , 0.16920759677886962
EA-TRCSP-ANOVA-P-GBC      , "[1, 2, 2, 9, 0, 0]" , EA         , TRCSP      , ANOVA-P    , GBC        ,                   ,                   ,              1,              2,              2,              9,              0,                     0, 0.8511111111111112,   0.3630958557128906 , 0.17545289993286134
EA-TRCSP-ANOVA-P-GNB      , "[1, 2, 2, 10, 0, 0]", EA         , TRCSP      , ANOVA-P    , GNB        ,                   ,                   ,              1,              2,              2,             10,              0,                     0, 0.8966666666666667,   0.23411548137664795, 0.18972995281219482
EA-TRCSP-ANOVA-P-MLP      , "[1, 2, 2, 11, 0, 0]", EA         , TRCSP      , ANOVA-P    , MLP        ,                   ,                   ,              1,              2,              2,             11,              0,                     0, 0.9011111111111111,   0.41093437671661376, 0.1654181718826294
EA-TRCSP-MIC-K-SVM        , "[1, 2, 3, 1, 0, 0]" , EA         , TRCSP      , MIC-K      , SVM        ,                   ,                   ,              1,              2,              3,              1,              0,                     0, 0.9055555555555557,   0.26710898876190187, 0.22009611129760742
EA-TRCSP-MIC-K-LDA        , "[1, 2, 3, 2, 0, 0]" , EA         , TRCSP      , MIC-K      , LDA        ,                   ,                   ,              1,              2,              3,              2,              0,                     0, 0.9055555555555557,   0.25699005126953123, 0.20471513271331787
EA-TRCSP-MIC-K-LR         , "[1, 2, 3, 3, 0, 0]" , EA         , TRCSP      , MIC-K      , LR         ,                   ,                   ,              1,              2,              3,              3,              0,                     0, 0.9011111111111111,   0.23738739490509034, 0.19743459224700927
EA-TRCSP-MIC-K-KNN        , "[1, 2, 3, 4, 0, 0]" , EA         , TRCSP      , MIC-K      , KNN        ,                   ,                   ,              1,              2,              3,              4,              0,                     0, 0.8977777777777778,   0.23994522094726561, 0.20829377174377442
EA-TRCSP-MIC-K-DTC        , "[1, 2, 3, 5, 0, 0]" , EA         , TRCSP      , MIC-K      , DTC        ,                   ,                   ,              1,              2,              3,              5,              0,                     0, 0.7966666666666666,   0.28816001415252684, 0.22401559352874756
EA-TRCSP-MIC-K-RFC        , "[1, 2, 3, 6, 0, 0]" , EA         , TRCSP      , MIC-K      , RFC        ,                   ,                   ,              1,              2,              3,              6,              0,                     0, 0.8977777777777778,   0.45368123054504395, 0.19635913372039795
EA-TRCSP-MIC-K-ETC        , "[1, 2, 3, 7, 0, 0]" , EA         , TRCSP      , MIC-K      , ETC        ,                   ,                   ,              1,              2,              3,              7,              0,                     0, 0.8988888888888891,   0.3494481086730957 , 0.19057559967041016
EA-TRCSP-MIC-K-ABC        , "[1, 2, 3, 8, 0, 0]" , EA         , TRCSP      , MIC-K      , ABC        ,                   ,                   ,              1,              2,              3,              8,              0,                     0, 0.8555555555555555,   0.30899364948272706, 0.18249452114105225
EA-TRCSP-MIC-K-GBC        , "[1, 2, 3, 9, 0, 0]" , EA         , TRCSP      , MIC-K      , GBC        ,                   ,                   ,              1,              2,              3,              9,              0,                     0, 0.8866666666666667,   0.387429404258728  , 0.17422361373901368
EA-TRCSP-MIC-K-GNB        , "[1, 2, 3, 10, 0, 0]", EA         , TRCSP      , MIC-K      , GNB        ,                   ,                   ,              1,              2,              3,             10,              0,                     0, 0.8188888888888888,   0.2254873991012573 , 0.17137446403503417
EA-TRCSP-MIC-K-MLP        , "[1, 2, 3, 11, 0, 0]", EA         , TRCSP      , MIC-K      , MLP        ,                   ,                   ,              1,              2,              3,             11,              0,                     0, 0.9200000000000002,   0.6562862634658814 , 0.18414323329925536
EA-TRCSP-MIC-P-SVM        , "[1, 2, 4, 1, 0, 0]" , EA         , TRCSP      , MIC-P      , SVM        ,                   ,                   ,              1,              2,              4,              1,              0,                     0, 0.9055555555555557,   0.2485952615737915 , 0.19051001071929932
EA-TRCSP-MIC-P-LDA        , "[1, 2, 4, 2, 0, 0]" , EA         , TRCSP      , MIC-P      , LDA        ,                   ,                   ,              1,              2,              4,              2,              0,                     0, 0.8988888888888888,   0.23787405490875244, 0.1813894033432007
EA-TRCSP-MIC-P-LR         , "[1, 2, 4, 3, 0, 0]" , EA         , TRCSP      , MIC-P      , LR         ,                   ,                   ,              1,              2,              4,              3,              0,                     0, 0.9022222222222224,   0.23550238609313964, 0.18211379051208496
EA-TRCSP-MIC-P-KNN        , "[1, 2, 4, 4, 0, 0]" , EA         , TRCSP      , MIC-P      , KNN        ,                   ,                   ,              1,              2,              4,              4,              0,                     0, 0.8988888888888891,   0.2178476095199585 , 0.19891226291656494
EA-TRCSP-MIC-P-DTC        , "[1, 2, 4, 5, 0, 0]" , EA         , TRCSP      , MIC-P      , DTC        ,                   ,                   ,              1,              2,              4,              5,              0,                     0, 0.8122222222222222,   0.22655100822448732, 0.2006014585494995
EA-TRCSP-MIC-P-RFC        , "[1, 2, 4, 6, 0, 0]" , EA         , TRCSP      , MIC-P      , RFC        ,                   ,                   ,              1,              2,              4,              6,              0,                     0, 0.8799999999999999,   0.4371370792388916 , 0.24836347103118897
EA-TRCSP-MIC-P-ETC        , "[1, 2, 4, 7, 0, 0]" , EA         , TRCSP      , MIC-P      , ETC        ,                   ,                   ,              1,              2,              4,              7,              0,                     0, 0.888888888888889 ,   0.36468818187713625, 0.17932600975036622
EA-TRCSP-MIC-P-ABC        , "[1, 2, 4, 8, 0, 0]" , EA         , TRCSP      , MIC-P      , ABC        ,                   ,                   ,              1,              2,              4,              8,              0,                     0, 0.861111111111111 ,   0.32970080375671384, 0.19581894874572753
EA-TRCSP-MIC-P-GBC        , "[1, 2, 4, 9, 0, 0]" , EA         , TRCSP      , MIC-P      , GBC        ,                   ,                   ,              1,              2,              4,              9,              0,                     0, 0.86              ,   0.37692344188690186, 0.2012479305267334
EA-TRCSP-MIC-P-GNB        , "[1, 2, 4, 10, 0, 0]", EA         , TRCSP      , MIC-P      , GNB        ,                   ,                   ,              1,              2,              4,             10,              0,                     0, 0.8866666666666667,   0.2911484956741333 , 0.2079627752304077
EA-TRCSP-MIC-P-MLP        , "[1, 2, 4, 11, 0, 0]", EA         , TRCSP      , MIC-P      , MLP        ,                   ,                   ,              1,              2,              4,             11,              0,                     0, 0.9022222222222223,   0.47704052925109863, 0.16463475227355956
EA-TRCSP-PCA-SVM          , "[1, 2, 5, 1, 0, 0]" , EA         , TRCSP      , PCA        , SVM        ,                   ,                   ,              1,              2,              5,              1,              0,                     0, 0.8866666666666667,   0.3159381628036499 , 0.19977936744689942
EA-TRCSP-PCA-LDA          , "[1, 2, 5, 2, 0, 0]" , EA         , TRCSP      , PCA        , LDA        ,                   ,                   ,              1,              2,              5,              2,              0,                     0, 0.8822222222222222,   0.24595041275024415, 0.18666677474975585
EA-TRCSP-PCA-LR           , "[1, 2, 5, 3, 0, 0]" , EA         , TRCSP      , PCA        , LR         ,                   ,                   ,              1,              2,              5,              3,              0,                     0, 0.8777777777777779,   0.23242566585540772, 0.20390453338623046
EA-TRCSP-PCA-KNN          , "[1, 2, 5, 4, 0, 0]" , EA         , TRCSP      , PCA        , KNN        ,                   ,                   ,              1,              2,              5,              4,              0,                     0, 0.8744444444444446,   0.2259899377822876 , 0.19664106369018555
EA-TRCSP-PCA-DTC          , "[1, 2, 5, 5, 0, 0]" , EA         , TRCSP      , PCA        , DTC        ,                   ,                   ,              1,              2,              5,              5,              0,                     0, 0.8               ,   0.23048777580261232, 0.17686522006988525
EA-TRCSP-PCA-RFC          , "[1, 2, 5, 6, 0, 0]" , EA         , TRCSP      , PCA        , RFC        ,                   ,                   ,              1,              2,              5,              6,              0,                     0, 0.8711111111111111,   0.3837968587875366 , 0.18477847576141357
EA-TRCSP-PCA-ETC          , "[1, 2, 5, 7, 0, 0]" , EA         , TRCSP      , PCA        , ETC        ,                   ,                   ,              1,              2,              5,              7,              0,                     0, 0.8733333333333333,   0.3335395097732544 , 0.19152791500091554
EA-TRCSP-PCA-ABC          , "[1, 2, 5, 8, 0, 0]" , EA         , TRCSP      , PCA        , ABC        ,                   ,                   ,              1,              2,              5,              8,              0,                     0, 0.8455555555555556,   0.30742361545562746, 0.18255650997161865
EA-TRCSP-PCA-GBC          , "[1, 2, 5, 9, 0, 0]" , EA         , TRCSP      , PCA        , GBC        ,                   ,                   ,              1,              2,              5,              9,              0,                     0, 0.86              ,   0.34820373058319093, 0.17627663612365724
EA-TRCSP-PCA-GNB          , "[1, 2, 5, 10, 0, 0]", EA         , TRCSP      , PCA        , GNB        ,                   ,                   ,              1,              2,              5,             10,              0,                     0, 0.8677777777777779,   0.22427830696105958, 0.18687081336975098
EA-TRCSP-PCA-MLP          , "[1, 2, 5, 11, 0, 0]", EA         , TRCSP      , PCA        , MLP        ,                   ,                   ,              1,              2,              5,             11,              0,                     0, 0.8666666666666666,   0.5952037572860718 , 0.15231456756591796
EA-TRCSP-LASSO-SVM        , "[1, 2, 6, 1, 0, 0]" , EA         , TRCSP      , LASSO      , SVM        ,                   ,                   ,              1,              2,              6,              1,              0,                     0, 0.897777777777778 ,   0.22797095775604248, 0.19408226013183594
EA-TRCSP-LASSO-LDA        , "[1, 2, 6, 2, 0, 0]" , EA         , TRCSP      , LASSO      , LDA        ,                   ,                   ,              1,              2,              6,              2,              0,                     0, 0.8988888888888888,   0.231933069229126  , 0.18483119010925292
EA-TRCSP-LASSO-LR         , "[1, 2, 6, 3, 0, 0]" , EA         , TRCSP      , LASSO      , LR         ,                   ,                   ,              1,              2,              6,              3,              0,                     0, 0.8988888888888891,   0.23453965187072753, 0.19252641201019288
EA-TRCSP-LASSO-KNN        , "[1, 2, 6, 4, 0, 0]" , EA         , TRCSP      , LASSO      , KNN        ,                   ,                   ,              1,              2,              6,              4,              0,                     0, 0.9144444444444446,   0.23744571208953857, 0.18932573795318602
EA-TRCSP-LASSO-DTC        , "[1, 2, 6, 5, 0, 0]" , EA         , TRCSP      , LASSO      , DTC        ,                   ,                   ,              1,              2,              6,              5,              0,                     0, 0.8277777777777777,   0.22474515438079834, 0.18719322681427003
EA-TRCSP-LASSO-RFC        , "[1, 2, 6, 6, 0, 0]" , EA         , TRCSP      , LASSO      , RFC        ,                   ,                   ,              1,              2,              6,              6,              0,                     0, 0.8855555555555557,   0.37176811695098877, 0.18463428020477296
EA-TRCSP-LASSO-ETC        , "[1, 2, 6, 7, 0, 0]" , EA         , TRCSP      , LASSO      , ETC        ,                   ,                   ,              1,              2,              6,              7,              0,                     0, 0.9055555555555557,   0.33324270248413085, 0.1965399980545044
EA-TRCSP-LASSO-ABC        , "[1, 2, 6, 8, 0, 0]" , EA         , TRCSP      , LASSO      , ABC        ,                   ,                   ,              1,              2,              6,              8,              0,                     0, 0.8533333333333333,   0.3672724008560181 , 0.18660643100738525
EA-TRCSP-LASSO-GBC        , "[1, 2, 6, 9, 0, 0]" , EA         , TRCSP      , LASSO      , GBC        ,                   ,                   ,              1,              2,              6,              9,              0,                     0, 0.8766666666666666,   0.3821182012557983 , 0.20538105964660644
